[워머] 대상 12379건 (force=False, sample=전량, workers=3, sleep=0.3s)
  진행 760/12379 | ok 760 err 0 | 양호 104 검토 11 금지 642 미적용 3 | 326건/분 | ETA 36분
  진행 770/12379 | ok 770 err 0 | 양호 104 검토 11 금지 652 미적용 3 | 327건/분 | ETA 36분
  진행 780/12379 | ok 780 err 0 | 양호 104 검토 11 금지 662 미적용 3 | 326건/분 | ETA 36분
  진행 790/12379 | ok 790 err 0 | 양호 105 검토 11 금지 671 미적용 3 | 327건/분 | ETA 35분
  진행 800/12379 | ok 800 err 0 | 양호 106 검토 11 금지 680 미적용 3 | 328건/분 | ETA 35분
  진행 810/12379 | ok 810 err 0 | 양호 106 검토 11 금지 690 미적용 3 | 329건/분 | ETA 35분
  진행 820/12379 | ok 820 err 0 | 양호 110 검토 11 금지 696 미적용 3 | 329건/분 | ETA 35분
  진행 830/12379 | ok 830 err 0 | 양호 111 검토 11 금지 705 미적용 3 | 330건/분 | ETA 35분
  진행 840/12379 | ok 840 err 0 | 양호 111 검토 11 금지 715 미적용 3 | 331건/분 | ETA 35분
  진행 850/12379 | ok 850 err 0 | 양호 114 검토 11 금지 722 미적용 3 | 331건/분 | ETA 35분
  진행 860/12379 | ok 860 err 0 | 양호 114 검토 11 금지 732 미적용 3 | 332건/분 | ETA 35분
  진행 870/12379 | ok 870 err 0 | 양호 114 검토 11 금지 742 미적용 3 | 333건/분 | ETA 35분
  진행 880/12379 | ok 880 err 0 | 양호 114 검토 11 금지 752 미적용 3 | 334건/분 | ETA 34분
  진행 890/12379 | ok 890 err 0 | 양호 114 검토 11 금지 762 미적용 3 | 335건/분 | ETA 34분
  진행 900/12379 | ok 900 err 0 | 양호 114 검토 11 금지 772 미적용 3 | 335건/분 | ETA 34분
  진행 910/12379 | ok 910 err 0 | 양호 114 검토 11 금지 782 미적용 3 | 333건/분 | ETA 34분
  진행 920/12379 | ok 920 err 0 | 양호 114 검토 11 금지 792 미적용 3 | 333건/분 | ETA 34분
  진행 930/12379 | ok 930 err 0 | 양호 118 검토 12 금지 797 미적용 3 | 334건/분 | ETA 34분
  진행 940/12379 | ok 940 err 0 | 양호 118 검토 12 금지 807 미적용 3 | 334건/분 | ETA 34분
  진행 950/12379 | ok 950 err 0 | 양호 118 검토 12 금지 817 미적용 3 | 335건/분 | ETA 34분
  진행 960/12379 | ok 960 err 0 | 양호 118 검토 12 금지 827 미적용 3 | 335건/분 | ETA 34분
  진행 970/12379 | ok 970 err 0 | 양호 118 검토 12 금지 837 미적용 3 | 335건/분 | ETA 34분
  진행 980/12379 | ok 980 err 0 | 양호 118 검토 12 금지 847 미적용 3 | 336건/분 | ETA 34분
  진행 990/12379 | ok 990 err 0 | 양호 118 검토 12 금지 857 미적용 3 | 337건/분 | ETA 34분
  진행 1000/12379 | ok 1000 err 0 | 양호 118 검토 12 금지 867 미적용 3 | 337건/분 | ETA 34분
  진행 1010/12379 | ok 1010 err 0 | 양호 118 검토 12 금지 877 미적용 3 | 337건/분 | ETA 34분
  진행 1020/12379 | ok 1020 err 0 | 양호 118 검토 12 금지 887 미적용 3 | 333건/분 | ETA 34분
  진행 1030/12379 | ok 1030 err 0 | 양호 121 검토 12 금지 894 미적용 3 | 332건/분 | ETA 34분
  진행 1040/12379 | ok 1040 err 0 | 양호 126 검토 12 금지 899 미적용 3 | 332건/분 | ETA 34분
  진행 1050/12379 | ok 1050 err 0 | 양호 126 검토 12 금지 909 미적용 3 | 333건/분 | ETA 34분
  진행 1060/12379 | ok 1060 err 0 | 양호 126 검토 12 금지 919 미적용 3 | 333건/분 | ETA 34분
  진행 1070/12379 | ok 1070 err 0 | 양호 126 검토 12 금지 929 미적용 3 | 334건/분 | ETA 34분
  진행 1080/12379 | ok 1080 err 0 | 양호 126 검토 12 금지 939 미적용 3 | 335건/분 | ETA 34분
  진행 1090/12379 | ok 1090 err 0 | 양호 126 검토 12 금지 949 미적용 3 | 335건/분 | ETA 34분
  진행 1100/12379 | ok 1100 err 0 | 양호 130 검토 12 금지 955 미적용 3 | 335건/분 | ETA 34분
  진행 1110/12379 | ok 1110 err 0 | 양호 132 검토 13 금지 962 미적용 3 | 335건/분 | ETA 34분
  진행 1120/12379 | ok 1120 err 0 | 양호 134 검토 14 금지 969 미적용 3 | 336건/분 | ETA 34분
  진행 1130/12379 | ok 1130 err 0 | 양호 134 검토 17 금지 976 미적용 3 | 336건/분 | ETA 33분
  진행 1140/12379 | ok 1140 err 0 | 양호 134 검토 17 금지 986 미적용 3 | 337건/분 | ETA 33분
  진행 1150/12379 | ok 1150 err 0 | 양호 134 검토 17 금지 996 미적용 3 | 337건/분 | ETA 33분
  진행 1160/12379 | ok 1160 err 0 | 양호 134 검토 17 금지 1006 미적용 3 | 338건/분 | ETA 33분
  진행 1170/12379 | ok 1170 err 0 | 양호 134 검토 17 금지 1016 미적용 3 | 338건/분 | ETA 33분
  진행 1180/12379 | ok 1180 err 0 | 양호 134 검토 17 금지 1026 미적용 3 | 339건/분 | ETA 33분
  진행 1190/12379 | ok 1190 err 0 | 양호 134 검토 17 금지 1036 미적용 3 | 339건/분 | ETA 33분
  진행 1200/12379 | ok 1200 err 0 | 양호 139 검토 17 금지 1041 미적용 3 | 340건/분 | ETA 33분
  진행 1210/12379 | ok 1210 err 0 | 양호 148 검토 17 금지 1042 미적용 3 | 340건/분 | ETA 33분
  진행 1220/12379 | ok 1220 err 0 | 양호 148 검토 17 금지 1052 미적용 3 | 341건/분 | ETA 33분
  진행 1230/12379 | ok 1230 err 0 | 양호 148 검토 17 금지 1062 미적용 3 | 341건/분 | ETA 33분
  진행 1240/12379 | ok 1240 err 0 | 양호 148 검토 17 금지 1072 미적용 3 | 342건/분 | ETA 33분
  진행 1250/12379 | ok 1250 err 0 | 양호 148 검토 17 금지 1082 미적용 3 | 342건/분 | ETA 33분
  진행 1260/12379 | ok 1260 err 0 | 양호 148 검토 17 금지 1092 미적용 3 | 343건/분 | ETA 32분
  진행 1270/12379 | ok 1270 err 0 | 양호 148 검토 17 금지 1102 미적용 3 | 343건/분 | ETA 32분
  진행 1280/12379 | ok 1280 err 0 | 양호 148 검토 17 금지 1112 미적용 3 | 344건/분 | ETA 32분
  진행 1290/12379 | ok 1290 err 0 | 양호 148 검토 17 금지 1122 미적용 3 | 344건/분 | ETA 32분
  진행 1300/12379 | ok 1300 err 0 | 양호 148 검토 17 금지 1132 미적용 3 | 345건/분 | ETA 32분
  진행 1310/12379 | ok 1310 err 0 | 양호 148 검토 17 금지 1142 미적용 3 | 345건/분 | ETA 32분
  진행 1320/12379 | ok 1320 err 0 | 양호 148 검토 17 금지 1152 미적용 3 | 346건/분 | ETA 32분
  진행 1330/12379 | ok 1330 err 0 | 양호 149 검토 17 금지 1161 미적용 3 | 346건/분 | ETA 32분
  진행 1340/12379 | ok 1340 err 0 | 양호 150 검토 17 금지 1170 미적용 3 | 346건/분 | ETA 32분
  진행 1350/12379 | ok 1350 err 0 | 양호 150 검토 17 금지 1180 미적용 3 | 347건/분 | ETA 32분
  진행 1360/12379 | ok 1360 err 0 | 양호 150 검토 17 금지 1190 미적용 3 | 347건/분 | ETA 32분
  진행 1370/12379 | ok 1370 err 0 | 양호 150 검토 17 금지 1200 미적용 3 | 348건/분 | ETA 32분
  진행 1380/12379 | ok 1380 err 0 | 양호 150 검토 17 금지 1210 미적용 3 | 348건/분 | ETA 32분
  진행 1390/12379 | ok 1390 err 0 | 양호 150 검토 17 금지 1220 미적용 3 | 349건/분 | ETA 32분
  진행 1400/12379 | ok 1400 err 0 | 양호 150 검토 17 금지 1230 미적용 3 | 349건/분 | ETA 31분
  진행 1410/12379 | ok 1410 err 0 | 양호 150 검토 17 금지 1240 미적용 3 | 350건/분 | ETA 31분
  진행 1420/12379 | ok 1420 err 0 | 양호 151 검토 17 금지 1249 미적용 3 | 350건/분 | ETA 31분
  진행 1430/12379 | ok 1430 err 0 | 양호 151 검토 17 금지 1259 미적용 3 | 350건/분 | ETA 31분
  진행 1440/12379 | ok 1440 err 0 | 양호 151 검토 17 금지 1269 미적용 3 | 349건/분 | ETA 31분
  진행 1450/12379 | ok 1450 err 0 | 양호 151 검토 17 금지 1279 미적용 3 | 344건/분 | ETA 32분
  진행 1460/12379 | ok 1460 err 0 | 양호 151 검토 17 금지 1289 미적용 3 | 342건/분 | ETA 32분
  진행 1470/12379 | ok 1470 err 0 | 양호 151 검토 17 금지 1299 미적용 3 | 341건/분 | ETA 32분
  진행 1480/12379 | ok 1480 err 0 | 양호 151 검토 17 금지 1309 미적용 3 | 341건/분 | ETA 32분
  진행 1490/12379 | ok 1490 err 0 | 양호 151 검토 17 금지 1319 미적용 3 | 341건/분 | ETA 32분
  진행 1500/12379 | ok 1500 err 0 | 양호 151 검토 17 금지 1329 미적용 3 | 338건/분 | ETA 32분
  진행 1510/12379 | ok 1510 err 0 | 양호 151 검토 17 금지 1339 미적용 3 | 338건/분 | ETA 32분
  진행 1520/12379 | ok 1520 err 0 | 양호 151 검토 17 금지 1349 미적용 3 | 337건/분 | ETA 32분
  진행 1530/12379 | ok 1530 err 0 | 양호 152 검토 17 금지 1358 미적용 3 | 337건/분 | ETA 32분
  진행 1540/12379 | ok 1540 err 0 | 양호 156 검토 20 금지 1361 미적용 3 | 337건/분 | ETA 32분
  진행 1550/12379 | ok 1550 err 0 | 양호 156 검토 20 금지 1371 미적용 3 | 338건/분 | ETA 32분
  진행 1560/12379 | ok 1560 err 0 | 양호 156 검토 20 금지 1381 미적용 3 | 338건/분 | ETA 32분
  진행 1570/12379 | ok 1570 err 0 | 양호 157 검토 21 금지 1389 미적용 3 | 338건/분 | ETA 32분
  진행 1580/12379 | ok 1580 err 0 | 양호 157 검토 21 금지 1399 미적용 3 | 339건/분 | ETA 32분
  진행 1590/12379 | ok 1590 err 0 | 양호 157 검토 21 금지 1409 미적용 3 | 339건/분 | ETA 32분
  진행 1600/12379 | ok 1600 err 0 | 양호 157 검토 21 금지 1419 미적용 3 | 339건/분 | ETA 32분
  진행 1610/12379 | ok 1610 err 0 | 양호 157 검토 21 금지 1429 미적용 3 | 340건/분 | ETA 32분
  진행 1620/12379 | ok 1620 err 0 | 양호 157 검토 21 금지 1439 미적용 3 | 340건/분 | ETA 32분
  진행 1630/12379 | ok 1630 err 0 | 양호 165 검토 22 금지 1440 미적용 3 | 339건/분 | ETA 32분
  진행 1640/12379 | ok 1640 err 0 | 양호 165 검토 22 금지 1450 미적용 3 | 340건/분 | ETA 32분
  진행 1650/12379 | ok 1650 err 0 | 양호 165 검토 22 금지 1460 미적용 3 | 340건/분 | ETA 32분
  진행 1660/12379 | ok 1660 err 0 | 양호 165 검토 22 금지 1470 미적용 3 | 340건/분 | ETA 32분
  진행 1670/12379 | ok 1670 err 0 | 양호 165 검토 22 금지 1480 미적용 3 | 340건/분 | ETA 31분
  진행 1680/12379 | ok 1680 err 0 | 양호 165 검토 22 금지 1490 미적용 3 | 341건/분 | ETA 31분
  진행 1690/12379 | ok 1690 err 0 | 양호 167 검토 22 금지 1498 미적용 3 | 340건/분 | ETA 31분
  진행 1700/12379 | ok 1700 err 0 | 양호 170 검토 24 금지 1503 미적용 3 | 341건/분 | ETA 31분
  진행 1710/12379 | ok 1710 err 0 | 양호 171 검토 27 금지 1509 미적용 3 | 341건/분 | ETA 31분
  진행 1720/12379 | ok 1720 err 0 | 양호 172 검토 28 금지 1517 미적용 3 | 341건/분 | ETA 31분
  진행 1730/12379 | ok 1730 err 0 | 양호 173 검토 28 금지 1526 미적용 3 | 341건/분 | ETA 31분
  진행 1740/12379 | ok 1740 err 0 | 양호 174 검토 28 금지 1535 미적용 3 | 342건/분 | ETA 31분
  진행 1750/12379 | ok 1750 err 0 | 양호 176 검토 29 금지 1542 미적용 3 | 342건/분 | ETA 31분
  진행 1760/12379 | ok 1760 err 0 | 양호 177 검토 31 금지 1549 미적용 3 | 342건/분 | ETA 31분
  진행 1770/12379 | ok 1770 err 0 | 양호 177 검토 31 금지 1559 미적용 3 | 342건/분 | ETA 31분
  진행 1780/12379 | ok 1780 err 0 | 양호 177 검토 31 금지 1569 미적용 3 | 343건/분 | ETA 31분
  진행 1790/12379 | ok 1790 err 0 | 양호 181 검토 31 금지 1575 미적용 3 | 343건/분 | ETA 31분
  진행 1800/12379 | ok 1800 err 0 | 양호 186 검토 31 금지 1580 미적용 3 | 343건/분 | ETA 31분
  진행 1810/12379 | ok 1810 err 0 | 양호 186 검토 31 금지 1590 미적용 3 | 342건/분 | ETA 31분
  진행 1820/12379 | ok 1820 err 0 | 양호 186 검토 31 금지 1600 미적용 3 | 338건/분 | ETA 31분
  진행 1830/12379 | ok 1830 err 0 | 양호 187 검토 31 금지 1609 미적용 3 | 335건/분 | ETA 31분
  진행 1840/12379 | ok 1840 err 0 | 양호 196 검토 31 금지 1610 미적용 3 | 335건/분 | ETA 31분
  진행 1850/12379 | ok 1850 err 0 | 양호 205 검토 31 금지 1611 미적용 3 | 336건/분 | ETA 31분
  진행 1860/12379 | ok 1860 err 0 | 양호 205 검토 31 금지 1621 미적용 3 | 336건/분 | ETA 31분
  진행 1870/12379 | ok 1870 err 0 | 양호 205 검토 31 금지 1631 미적용 3 | 336건/분 | ETA 31분
  진행 1880/12379 | ok 1880 err 0 | 양호 205 검토 31 금지 1641 미적용 3 | 336건/분 | ETA 31분
  진행 1890/12379 | ok 1890 err 0 | 양호 207 검토 32 금지 1648 미적용 3 | 337건/분 | ETA 31분
  진행 1900/12379 | ok 1900 err 0 | 양호 208 검토 34 금지 1655 미적용 3 | 337건/분 | ETA 31분
  진행 1910/12379 | ok 1910 err 0 | 양호 212 검토 34 금지 1661 미적용 3 | 337건/분 | ETA 31분
  진행 1920/12379 | ok 1920 err 0 | 양호 213 검토 34 금지 1670 미적용 3 | 337건/분 | ETA 31분
  진행 1930/12379 | ok 1930 err 0 | 양호 221 검토 35 금지 1671 미적용 3 | 337건/분 | ETA 31분
  진행 1940/12379 | ok 1940 err 0 | 양호 221 검토 35 금지 1681 미적용 3 | 338건/분 | ETA 31분
  진행 1950/12379 | ok 1950 err 0 | 양호 221 검토 35 금지 1691 미적용 3 | 338건/분 | ETA 31분
  진행 1960/12379 | ok 1960 err 0 | 양호 221 검토 35 금지 1701 미적용 3 | 336건/분 | ETA 31분
  진행 1970/12379 | ok 1970 err 0 | 양호 221 검토 35 금지 1711 미적용 3 | 332건/분 | ETA 31분
  진행 1980/12379 | ok 1980 err 0 | 양호 221 검토 35 금지 1721 미적용 3 | 331건/분 | ETA 31분
  진행 1990/12379 | ok 1990 err 0 | 양호 221 검토 35 금지 1731 미적용 3 | 331건/분 | ETA 31분
  진행 2000/12379 | ok 2000 err 0 | 양호 221 검토 35 금지 1741 미적용 3 | 331건/분 | ETA 31분
  진행 2010/12379 | ok 2010 err 0 | 양호 221 검토 35 금지 1751 미적용 3 | 332건/분 | ETA 31분
  진행 2020/12379 | ok 2020 err 0 | 양호 221 검토 35 금지 1761 미적용 3 | 332건/분 | ETA 31분
  진행 2030/12379 | ok 2030 err 0 | 양호 222 검토 35 금지 1770 미적용 3 | 332건/분 | ETA 31분
  진행 2040/12379 | ok 2040 err 0 | 양호 222 검토 35 금지 1780 미적용 3 | 333건/분 | ETA 31분
  진행 2050/12379 | ok 2050 err 0 | 양호 226 검토 35 금지 1786 미적용 3 | 333건/분 | ETA 31분
  진행 2060/12379 | ok 2060 err 0 | 양호 226 검토 35 금지 1796 미적용 3 | 331건/분 | ETA 31분
  진행 2070/12379 | ok 2070 err 0 | 양호 226 검토 35 금지 1806 미적용 3 | 329건/분 | ETA 31분
  진행 2080/12379 | ok 2080 err 0 | 양호 226 검토 35 금지 1816 미적용 3 | 326건/분 | ETA 32분
  진행 2090/12379 | ok 2090 err 0 | 양호 226 검토 35 금지 1826 미적용 3 | 323건/분 | ETA 32분
  진행 2100/12379 | ok 2100 err 0 | 양호 226 검토 35 금지 1836 미적용 3 | 320건/분 | ETA 32분
  진행 2110/12379 | ok 2110 err 0 | 양호 226 검토 35 금지 1846 미적용 3 | 314건/분 | ETA 33분
  진행 2120/12379 | ok 2120 err 0 | 양호 226 검토 35 금지 1856 미적용 3 | 312건/분 | ETA 33분
  진행 2130/12379 | ok 2130 err 0 | 양호 226 검토 35 금지 1866 미적용 3 | 309건/분 | ETA 33분
  진행 2140/12379 | ok 2140 err 0 | 양호 226 검토 35 금지 1876 미적용 3 | 306건/분 | ETA 33분
  진행 2150/12379 | ok 2150 err 0 | 양호 226 검토 35 금지 1886 미적용 3 | 306건/분 | ETA 33분
  진행 2160/12379 | ok 2160 err 0 | 양호 226 검토 35 금지 1896 미적용 3 | 304건/분 | ETA 34분
  진행 2170/12379 | ok 2170 err 0 | 양호 227 검토 36 금지 1904 미적용 3 | 303건/분 | ETA 34분
  진행 2180/12379 | ok 2180 err 0 | 양호 227 검토 37 금지 1913 미적용 3 | 303건/분 | ETA 34분
  진행 2190/12379 | ok 2190 err 0 | 양호 230 검토 37 금지 1920 미적용 3 | 303건/분 | ETA 34분
  진행 2200/12379 | ok 2200 err 0 | 양호 240 검토 37 금지 1920 미적용 3 | 304건/분 | ETA 34분
  진행 2210/12379 | ok 2210 err 0 | 양호 241 검토 37 금지 1929 미적용 3 | 304건/분 | ETA 33분
  진행 2220/12379 | ok 2220 err 0 | 양호 241 검토 37 금지 1939 미적용 3 | 304건/분 | ETA 33분
  진행 2230/12379 | ok 2230 err 0 | 양호 241 검토 37 금지 1949 미적용 3 | 302건/분 | ETA 34분
  진행 2240/12379 | ok 2240 err 0 | 양호 241 검토 37 금지 1959 미적용 3 | 302건/분 | ETA 34분
  진행 2250/12379 | ok 2250 err 0 | 양호 241 검토 37 금지 1969 미적용 3 | 301건/분 | ETA 34분
  진행 2260/12379 | ok 2260 err 0 | 양호 241 검토 40 금지 1976 미적용 3 | 301건/분 | ETA 34분
  진행 2270/12379 | ok 2270 err 0 | 양호 242 검토 40 금지 1985 미적용 3 | 300건/분 | ETA 34분
  진행 2280/12379 | ok 2280 err 0 | 양호 246 검토 41 금지 1990 미적용 3 | 300건/분 | ETA 34분
  진행 2290/12379 | ok 2290 err 0 | 양호 250 검토 41 금지 1996 미적용 3 | 300건/분 | ETA 34분
  진행 2300/12379 | ok 2300 err 0 | 양호 250 검토 41 금지 2006 미적용 3 | 300건/분 | ETA 34분
  진행 2310/12379 | ok 2310 err 0 | 양호 250 검토 41 금지 2016 미적용 3 | 301건/분 | ETA 34분
  진행 2320/12379 | ok 2320 err 0 | 양호 250 검토 41 금지 2026 미적용 3 | 301건/분 | ETA 33분
  진행 2330/12379 | ok 2330 err 0 | 양호 250 검토 41 금지 2036 미적용 3 | 301건/분 | ETA 33분
  진행 2340/12379 | ok 2340 err 0 | 양호 254 검토 41 금지 2042 미적용 3 | 301건/분 | ETA 33분
  진행 2350/12379 | ok 2350 err 0 | 양호 254 검토 41 금지 2052 미적용 3 | 302건/분 | ETA 33분
  진행 2360/12379 | ok 2360 err 0 | 양호 256 검토 42 금지 2059 미적용 3 | 302건/분 | ETA 33분
